feature_id	location	type	function	aliases	protein_md5
fig|562.101034.peg.1	EC_530_Assembly_contig_1_3+459	CDS	UPF0214 protein YfeW		d42e6cedc9ba443f99feed36b08a93f9
fig|562.101034.peg.2	EC_530_Assembly_contig_1_1418-900	CDS	Predicted dye-decolorizing peroxidase (DyP), YfeX-like subgroup		e8b76ef385232a99414a87dc52403ec8
fig|562.101034.peg.3	EC_530_Assembly_contig_1_2089-576	CDS	Predicted outer membrane lipoprotein YfeY		b010e8469f14ff1187763bebb97f3fbf
fig|562.101034.peg.4	EC_530_Assembly_contig_1_2599-450	CDS	Inner membrane protein YfeZ		52763e221e549331e25fae0a4a8009fd
fig|562.101034.peg.5	EC_530_Assembly_contig_1_3011-426	CDS	Acetyltransferase YpeA		bf7c0211457e35636f6dcd70efc4157e
fig|562.101034.peg.6	EC_530_Assembly_contig_1_3225+870	CDS	N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28)		1faaf5a6deca2bb28fdefd56b45dd097
fig|562.101034.peg.7	EC_530_Assembly_contig_1_4095+903	CDS	Coproporphyrinogen III oxidase, aerobic (EC 1.3.3.3)		b3ee3f426423a57c26beb35f042c8b27
fig|562.101034.peg.8	EC_530_Assembly_contig_1_6055-1053	CDS	Ethanolamine operon regulatory protein		75284bc98e8ba314b8d9e37c2f308316
fig|562.101034.peg.9	EC_530_Assembly_contig_1_6601-501	CDS	Ethanolamine utilization polyhedral-body-like protein EutK		75ddc9a0da2345f1dbea98d2c8ab1b29
fig|562.101034.peg.10	EC_530_Assembly_contig_1_7273-660	CDS	Ethanolamine utilization polyhedral-body-like protein EutL		3b6d24d882c9470bbee1203212985487
fig|562.101034.peg.11	EC_530_Assembly_contig_1_8170-888	CDS	Ethanolamine ammonia-lyase light chain (EC 4.3.1.7)		82a54f9dbefe5bacb35565716ded13ff
fig|562.101034.peg.12	EC_530_Assembly_contig_1_9552-1362	CDS	Ethanolamine ammonia-lyase heavy chain (EC 4.3.1.7)		221493648e7a2ad71b262251e251b3ee
fig|562.101034.peg.13	EC_530_Assembly_contig_1_10967-1404	CDS	Ethanolamine utilization protein EutA		41c0b4107225539caecac86be0660b02
fig|562.101034.peg.14	EC_530_Assembly_contig_1_12190-1227	CDS	Ethanolamine permease		e1394ee4d152c00d25b5d4f91929b1a9
fig|562.101034.peg.15	EC_530_Assembly_contig_1_12469-264	CDS	FIG00641974: hypothetical protein		f2ce69b8b7a4016fb7453ea0f5e2ce2e
fig|562.101034.peg.16	EC_530_Assembly_contig_2_983-981	CDS	Galactofuranose ABC transporter, permease protein 2		7f3b51a6c694c4b3e7232c221d96e7eb
fig|562.101034.peg.17	EC_530_Assembly_contig_2_1992-1023	CDS	Galactofuranose ABC transporter, permease protein 1		ed01ed54986c9f5bfcaa9fa9013b9c3c
fig|562.101034.peg.18	EC_530_Assembly_contig_2_3508-1503	CDS	Galactofuranose ABC transporter, ATP-binding protein		cb6f860a8fb2fe6861f33b460440e9a2
fig|562.101034.peg.19	EC_530_Assembly_contig_2_4604-957	CDS	Galactofuranose ABC transporter, substrate-binding protein		60fd77b76fba061cc678c830f21a5169
fig|562.101034.peg.20	EC_530_Assembly_contig_2_4914+531	CDS	Inorganic pyrophosphatase (EC 3.6.1.1)		108cc7936765946bc5b79ea261151b2d
fig|562.101034.peg.21	EC_530_Assembly_contig_2_5873-351	CDS	Programmed cell death toxin ChpB		bd9f68b0185750d9d58a613990ebea48
fig|562.101034.peg.22	EC_530_Assembly_contig_2_6118-252	CDS	Programmed cell death antitoxin ChpS		178dc84441dc9b92a0f2611071e7f685
fig|562.101034.peg.23	EC_530_Assembly_contig_2_6671-342	CDS	UPF0131 protein YtfP		ef23aa39d7fa5e452a998421f0e9cd7d
fig|562.101034.peg.24	EC_530_Assembly_contig_2_10453-3780	CDS	Inner membrane component of TAM transport system		61c4eff7bad3b6ccbdce6552b1e78620
fig|562.101034.peg.25	EC_530_Assembly_contig_2_11844-1395	CDS	Outer membrane component of TAM transport system		7e2e3531be724fea6752973af867dce0
