feature_id	location	type	function	aliases	protein_md5
fig|1584.211.peg.1	LD_615_Assembly_contig_1_645-645	CDS	putative replication protein		ca448a4e807cd78e31e747e09a65995b
fig|1584.211.peg.2	LD_615_Assembly_contig_1_848-198	CDS	hypothetical protein		992eefbf67959e1d36ceda7853e4c574
fig|1584.211.peg.3	LD_615_Assembly_contig_1_1096-111	CDS	hypothetical protein		936bf624a4a17d53fe1963611e086691
fig|1584.211.peg.4	LD_615_Assembly_contig_1_1331-225	CDS	Phage protein		9bb778a5ed4f40355f20a2dc80015ff1
fig|1584.211.peg.5	LD_615_Assembly_contig_1_1569-255	CDS	hypothetical protein		b8b4a25d624687ce3629221517de3874
fig|1584.211.peg.6	LD_615_Assembly_contig_1_1630+447	CDS	hypothetical protein		fef15a4b0d25d5e9826a821c5b6a55b9
fig|1584.211.peg.7	LD_615_Assembly_contig_1_2361-159	CDS	hypothetical protein		371967a3c5822b26b65f324f5f15fc4b
fig|1584.211.peg.8	LD_615_Assembly_contig_1_2420+222	CDS	hypothetical protein		3676cfba0d2c38bd686c25dbfa9c7778
fig|1584.211.peg.9	LD_615_Assembly_contig_1_2928-273	CDS	hypothetical protein		b5af108bb373b6218b2708c15329e841
fig|1584.211.peg.10	LD_615_Assembly_contig_1_3199-264	CDS	hypothetical protein		a526c436a9dcc6ce32e80d373d6a0643
fig|1584.211.peg.11	LD_615_Assembly_contig_1_3261+267	CDS	hypothetical protein		b6c8479fb6147adb09ee2591f52dedb5
fig|1584.211.peg.12	LD_615_Assembly_contig_1_3905-210	CDS	Dna binding protein, phage associated		088132193f684f2fb2cbeea7bf583884
fig|1584.211.peg.13	LD_615_Assembly_contig_1_4185+228	CDS	hypothetical protein		10320a28ee749e68df4e5a031bb38993
fig|1584.211.peg.14	LD_615_Assembly_contig_1_4672-222	CDS	Phage protein		308bba9be0a7004831cd57ffc5f93d46
fig|1584.211.peg.15	LD_615_Assembly_contig_1_5430-732	CDS	Phage antirepressor protein		d0482e102e29fb0280bf0b93af956a6b
fig|1584.211.peg.16	LD_615_Assembly_contig_1_5676-189	CDS	Cro-like protein, phage associated		c41a6bb7fffd3e4624ee9461ae8da41e
fig|1584.211.peg.17	LD_615_Assembly_contig_1_6013-135	CDS	hypothetical protein		cb249c507fbb121767e9349a000ac126
fig|1584.211.peg.18	LD_615_Assembly_contig_1_6155+372	CDS	Phage repressor		7fdeeb6eb830068b7b6bfbd952c48a16
fig|1584.211.peg.19	LD_615_Assembly_contig_1_6542+402	CDS	Putative cI repressor, metallo-proteinase motif (ACLAME 174)		9841f1cd6191a7cfc9fab2a937ec29da
fig|1584.211.peg.20	LD_615_Assembly_contig_1_6977+792	CDS	hypothetical protein		fc119dc08ce722c4debebde025dceb94
fig|1584.211.peg.21	LD_615_Assembly_contig_1_8190+981	CDS	hypothetical protein		5aa2f1c1b8dc09b592316de7120c5923
fig|1584.211.peg.22	LD_615_Assembly_contig_1_9773+1158	CDS	Phage integrase, site-specific tyrosine recombinase		457981409812ff205ba28236ecfd7840
fig|1584.211.peg.23	LD_615_Assembly_contig_1_11182+1131	CDS	Integral membrane protein		ddc82e632e103949996239131fd11349
fig|1584.211.peg.24	LD_615_Assembly_contig_1_12946-591	CDS	hypothetical protein		4b8592b6c4d5e375c919ffcbf2e8be1b
fig|1584.211.peg.25	LD_615_Assembly_contig_1_13358-420	CDS	FIG00743544: hypothetical protein		408c30f3f2bae9e5eaa0f15b66a0bb00
fig|1584.211.peg.26	LD_615_Assembly_contig_1_15308-1812	CDS	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] (EC 2.6.1.16)		354ced0e9ee86e036abee0120226dbb9
fig|1584.211.rna.1	LD_615_Assembly_contig_1_15628-74	rna	tRNA-Arg-TCT		
fig|1584.211.peg.27	LD_615_Assembly_contig_1_16412-696	CDS	hypothetical protein		f4808ffa1cd8991aebf228b841f13895
fig|1584.211.peg.28	LD_615_Assembly_contig_1_17228-771	CDS	hypothetical protein		74e391822fa9cbcc022fecf90823bf12
fig|1584.211.peg.29	LD_615_Assembly_contig_1_19851-2535	CDS	Lysyl aminopeptidase (EC 3.4.11.15)		a594fa98afda390b742f02b905a98490
fig|1584.211.peg.30	LD_615_Assembly_contig_1_20046+483	CDS	FIG00754367: hypothetical protein		1870bafd88be80acbdb7a6de17b098de
fig|1584.211.peg.31	LD_615_Assembly_contig_1_20544+414	CDS	FIG00749109: hypothetical protein		5707229cb4d1c49046d011a70e00ec46
fig|1584.211.peg.32	LD_615_Assembly_contig_1_21082+2385	CDS	Xaa-Pro dipeptidyl-peptidase (EC 3.4.14.11)		799012497586c61303e9feedf1bfc038
fig|1584.211.peg.33	LD_615_Assembly_contig_1_24799-1275	CDS	Regulation of D-alanyl-lipoteichoic acid biosynthesis, sensor histidine kinase		2d1f4223a3bdf9a3350c0e789d249aeb
fig|1584.211.peg.34	LD_615_Assembly_contig_1_25474-666	CDS	Regulation of D-alanyl-lipoteichoic acid biosynthesis, DltR		89f28b966651ae0b078671ad617c7d97
fig|1584.211.peg.35	LD_615_Assembly_contig_1_26090-612	CDS	GTP pyrophosphokinase (EC 2.7.6.5)		c5e68127af2309c5b2f0be92f12da3fd
fig|1584.211.peg.36	LD_615_Assembly_contig_1_26496-339	CDS	FIG00746854: hypothetical protein		dbc0a98e58517d1efbd974515bdac749
fig|1584.211.peg.37	LD_615_Assembly_contig_1_26648-117	CDS	FIG028593: membrane protein		26c81f8396d4fe3b82881e2a16a51926
fig|1584.211.peg.38	LD_615_Assembly_contig_1_26894-174	CDS	hypothetical protein		513330afdc51509d63fc1889d9f22118
fig|1584.211.peg.39	LD_615_Assembly_contig_1_27405-411	CDS	FIG00745146: hypothetical protein		ffcfe8975f175b7430364bce8f29b2a1
fig|1584.211.peg.40	LD_615_Assembly_contig_1_28969-1551	CDS	Glycine betaine ABC transport system, permease protein OpuAB / Glycine betaine ABC transport system, glycine betaine-binding protein OpuAC		56deb90ae84dde2a00f3332bfadec490
fig|1584.211.peg.41	LD_615_Assembly_contig_1_29921-960	CDS	Glycine betaine ABC transport system, ATP-binding protein OpuAA (EC 3.6.3.32)		673f8170cc45da1b1287ffb65b7346a9
fig|1584.211.peg.42	LD_615_Assembly_contig_1_30881-834	CDS	hypothetical protein		74b8757a7cbc4a95f84ccd346e1621c2
fig|1584.211.peg.43	LD_615_Assembly_contig_1_31909-909	CDS	UTP--glucose-1-phosphate uridylyltransferase (EC 2.7.7.9)		4a11db56e4c73e41050e665372b94416
fig|1584.211.peg.44	LD_615_Assembly_contig_1_32891-924	CDS	Inner membrane protein YihY, formerly thought to be RNase BN		97c60e2e46c44d10b0276767dfa3b8d5
fig|1584.211.peg.45	LD_615_Assembly_contig_1_33731-825	CDS	Methionine aminopeptidase (EC 3.4.11.18)		6508293a29b2a71727489c8f8fc160d6
