feature_id	location	type	function	aliases	protein_md5
fig|1282.4860.peg.1	AWS443_TRY2_contig_1_503+501	CDS	hypothetical protein		1700263ac51808642a58b20d646404b4
fig|1282.4860.peg.2	AWS443_TRY2_contig_1_1861-588	CDS	Phosphoglycerate mutase family protein		6a0fe5be7be97baa31e65a31b8f24509
fig|1282.4860.peg.3	AWS443_TRY2_contig_1_2075+237	CDS	hypothetical protein		af7676d3bf39b468714a9b4c75a115bb
fig|1282.4860.peg.4	AWS443_TRY2_contig_1_2506-204	CDS	hypothetical protein		51bda5445060ea87a9efc9ab7833c3a5
fig|1282.4860.peg.5	AWS443_TRY2_contig_1_2804-138	CDS	hypothetical protein		14b35af214580fdd0970f65d68c331ea
fig|1282.4860.peg.6	AWS443_TRY2_contig_1_2915+258	CDS	hypothetical protein		862ede508336d089bcb2acc4983abf3e
fig|1282.4860.peg.7	AWS443_TRY2_contig_1_3197+189	CDS	hypothetical protein		43e2254278782f420a150558e0c69add
fig|1282.4860.peg.8	AWS443_TRY2_contig_1_3575+555	CDS	hypothetical protein		71698e1edd67925ea43f149ae40e9e61
fig|1282.4860.peg.9	AWS443_TRY2_contig_1_4422-234	CDS	hypothetical protein		347b83ad7ab6fcaa2adc212c56c01270
fig|1282.4860.peg.10	AWS443_TRY2_contig_1_4706+747	CDS	Phage protein		a882a0c00f87d6b6677005e8f26a60ae
fig|1282.4860.peg.11	AWS443_TRY2_contig_1_5551+285	CDS	hypothetical protein		96dd0e59b6f6e8310158639c3bbd5daa
fig|1282.4860.peg.12	AWS443_TRY2_contig_1_5859+225	CDS	hypothetical protein		f06d17c8a2375f4fd3827d34769fbe24
fig|1282.4860.peg.13	AWS443_TRY2_contig_1_6904-201	CDS	Cold shock protein of CSP family		3e8481110139195605bd0e48462f4362
fig|1282.4860.peg.14	AWS443_TRY2_contig_1_9211-942	CDS	Cobalt-zinc-cadmium resistance protein		a6fed171f32b6ae772f0e2d6d8bdaf2a
fig|1282.4860.peg.15	AWS443_TRY2_contig_1_9326-126	CDS	hypothetical protein		0892efcf1ff5b20aae789dd20bfde558
fig|1282.4860.peg.16	AWS443_TRY2_contig_1_9498+504	CDS	hypothetical protein		33050eefbcaf2c7d204efb2c2a994722
fig|1282.4860.peg.17	AWS443_TRY2_contig_1_10509+177	CDS	hypothetical protein		44f64307340bdf048b932b24da5ae54d
