feature_id	location	type	function	aliases	protein_md5
fig|1596.468.peg.1	LG_483_Assembly_contig_1_1+69	CDS	UDP-glucose 4-epimerase (EC 5.1.3.2)		7fa8cb3a776e0bde708e99f4fb26dca3
fig|1596.468.peg.2	LG_483_Assembly_contig_1_1092-936	CDS	Thioredoxin reductase (EC 1.8.1.9)		5b226606160abaa49eb7e96e8db49b75
fig|1596.468.peg.3	LG_483_Assembly_contig_1_2183-1020	CDS	Glycerol-3-phosphate dehydrogenase [NAD(P)+] (EC 1.1.1.94)		6a367c1c7185ef4526be3cddc47453c5
fig|1596.468.peg.4	LG_483_Assembly_contig_1_3055-837	CDS	Prolipoprotein diacylglyceryl transferase		8f3da0c73b0e9d9321a7a173d1d15afd
fig|1596.468.peg.5	LG_483_Assembly_contig_1_4011-960	CDS	HPr kinase/phosphorylase		2a109da0ba7c68d76382f1e50673eac0
fig|1596.468.peg.6	LG_483_Assembly_contig_1_4282-279	CDS	FIG00742226: hypothetical protein		84d883d3214349dc80c6597b87ea60e2
fig|1596.468.peg.7	LG_483_Assembly_contig_1_5300-999	CDS	Peptide chain release factor 2		1c9108a6692f0fdf3bf5ee024db97ded
fig|1596.468.peg.8	LG_483_Assembly_contig_1_7898-2400	CDS	Protein translocase subunit SecA		17dbf84f3483b67548803ec55c9a0243
fig|1596.468.peg.9	LG_483_Assembly_contig_1_8602-546	CDS	Ribosome hibernation promoting factor Hpf		29dd12d56f21eda2b432f3a76f0959fc
fig|1596.468.peg.10	LG_483_Assembly_contig_1_9355-672	CDS	ComF operon protein C		71b42d963769998e7be9a3f3d7181de5
fig|1596.468.peg.11	LG_483_Assembly_contig_1_10620-1269	CDS	ComF operon protein A, DNA transporter ATPase		c5ccb43c1070f9c092f5e1d7d95acb89
fig|1596.468.peg.12	LG_483_Assembly_contig_1_10662+666	CDS	FIG000605: protein co-occurring with transport systems (COG1739)		977778a36bae2b76b486ad6dae21a23b
fig|1596.468.peg.13	LG_483_Assembly_contig_1_12488-1143	CDS	Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33)		eb409e53a87c50e441ac85ecd7b0987c
fig|1596.468.peg.14	LG_483_Assembly_contig_1_14211-1623	CDS	Ribonuclease Y		e4d363189cff4550af061d5b5319db97
fig|1596.468.peg.15	LG_483_Assembly_contig_1_15433-1095	CDS	RecA protein		2555417ce516ae2498fea57d3d78a633
fig|1596.468.peg.16	LG_483_Assembly_contig_1_16159-564	CDS	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase (EC 2.7.8.5)		0b6153c11e57119a9227dd5fb1eab93c
fig|1596.468.peg.17	LG_483_Assembly_contig_1_17172-1014	CDS	Transcriptional regulator in cluster with unspecified monosaccharide ABC transport system		e6c04ed41ce12b1060c45e7a208f3838
fig|1596.468.peg.18	LG_483_Assembly_contig_1_17959-729	CDS	Oxidoreductase, short-chain dehydrogenase/reductase family		04e8c07dd2eef27cbda5e3f8d01bef92
fig|1596.468.peg.19	LG_483_Assembly_contig_1_19195-1236	CDS	FIG009210: peptidase, M16 family		5f070f1abfc058a3a1592b4d767dff39
fig|1596.468.peg.20	LG_483_Assembly_contig_1_19842-651	CDS	FIG001621: Zinc protease		11fa8305ba3c5b3c9d0e5169dac532cb
fig|1596.468.peg.21	LG_483_Assembly_contig_1_20347-342	CDS	FIG001621: Zinc protease		1aab87ea7dac3794515da99adde0d8ad
fig|1596.468.peg.22	LG_483_Assembly_contig_1_22773-2424	CDS	DNA translocase FtsK		429d1f39315e5c4be483a97d8d6c456a
fig|1596.468.peg.23	LG_483_Assembly_contig_1_23229-435	CDS	FIG00742078: hypothetical protein		679d4beafb038912224807fe5f0ba5c7
fig|1596.468.peg.24	LG_483_Assembly_contig_1_23788-558	CDS	tRNA (cytidine(34)-2'-O)-methyltransferase (EC 2.1.1.207)		b43a5d7096e418126c4f1a6d977e45f9
fig|1596.468.peg.25	LG_483_Assembly_contig_1_25044-1182	CDS	UPF0118 membrane protein YubA		4d17e823af16543681f58323e71a6808
fig|1596.468.peg.26	LG_483_Assembly_contig_1_25436-381	CDS	PTS system, glucitol/sorbitol-specific IIA component (EC 2.7.1.69)		a1f570fe74b16b5559dee57ccf32efe8
fig|1596.468.peg.27	LG_483_Assembly_contig_1_25569+1023	CDS	6-phosphogluconolactonase (EC 3.1.1.31)		0b3bccd240044c60b853b76ee8587ff9
fig|1596.468.peg.28	LG_483_Assembly_contig_1_26683+1212	CDS	hypothetical protein		14ed14911a01913320a3f1ade1c50156
fig|1596.468.peg.29	LG_483_Assembly_contig_1_29751-1776	CDS	Oleate hydratase (EC 4.2.1.53)		b753cb33bdc117b7b22089b1ded4d6ba
fig|1596.468.peg.30	LG_483_Assembly_contig_1_30750-900	CDS	Similar to ribosomal large subunit pseudouridine synthase D, Bacillus subtilis YjbO type		fb892215ee4c1144b9d663045e15a153
fig|1596.468.peg.31	LG_483_Assembly_contig_1_31556-804	CDS	NAD kinase (EC 2.7.1.23)		40e6c8d78431a6bf7a572b74d1d5fae8
fig|1596.468.peg.32	LG_483_Assembly_contig_1_32182-627	CDS	GTP pyrophosphokinase (EC 2.7.6.5)		1c895db60f5adcaa5cfcee6abad9564e
fig|1596.468.peg.33	LG_483_Assembly_contig_1_32260+624	CDS	Uncharacterized protein conserved in bacteria		75194fe06e2df78bf803557503bf3007
fig|1596.468.peg.34	LG_483_Assembly_contig_1_32953+606	CDS	YjbH-like, GTP pyrophosphokinase domain		63c5dc353502eae92989fc007715985f
fig|1596.468.peg.35	LG_483_Assembly_contig_1_34452-885	CDS	Competence protein CoiA		44421c21896edc1ff60f9d08794b18f6
fig|1596.468.peg.36	LG_483_Assembly_contig_1_35152-654	CDS	hypothetical protein		4f43b8558cba47a4b24aca4c39d57814
fig|1596.468.peg.37	LG_483_Assembly_contig_1_35657-402	CDS	Regulatory protein Spx		306a50aa43b97901eb8f036c4b71c365
fig|1596.468.peg.38	LG_483_Assembly_contig_1_37594-1740	CDS	Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)		54f5ea958894f2b6bc7dca3068c903f9
fig|1596.468.peg.39	LG_483_Assembly_contig_1_37860-267	CDS	Phosphotransferase system, phosphocarrier protein HPr		73ebd37013b4e4dc905f7bfc74476a37
fig|1596.468.peg.40	LG_483_Assembly_contig_1_38162-183	CDS	FIG00742907: hypothetical protein		9538e59517281e3ef8df0a4c5d8a2098
fig|1596.468.peg.41	LG_483_Assembly_contig_1_38369+2169	CDS	ATP-dependent Clp protease, ATP-binding subunit ClpE		ee56773f7e2cf2d08d4e921aab464f8f
fig|1596.468.peg.42	LG_483_Assembly_contig_1_40664+282	CDS	hypothetical protein		dabaab2b314108c2e11814061e4f7cad
