feature_id	location	type	function	aliases	protein_md5
fig|573.46429.rna.1	KP_445_Assembly_contig_1_1+75	rna	tRNA-Ala-GGC		
fig|573.46429.rna.2	KP_445_Assembly_contig_1_117+76	rna	tRNA-Ala-GGC		
fig|573.46429.peg.1	KP_445_Assembly_contig_1_402+2172	CDS	c-di-GMP phosphodiesterase (EC 3.1.4.52) => PdeA		5682e27ac9ae673769f491fc9feec7bf
fig|573.46429.peg.2	KP_445_Assembly_contig_1_3824-1203	CDS	Na+ dependent nucleoside transporter NupC		19f518d284651570938ffcff6d2df2b6
fig|573.46429.peg.3	KP_445_Assembly_contig_1_4171+1242	CDS	Manganese transport protein MntH		cd2bac0c6490834dcedc8bd7ef31fdca
fig|573.46429.peg.4	KP_445_Assembly_contig_1_5829-360	CDS	Uncharacterized protein YpeC		a383981299b64ba66e93f2821a1c23fc
fig|573.46429.peg.5	KP_445_Assembly_contig_1_6952-993	CDS	Putative oxidoreductase STM2406		14fec3920ab5cd97f8d9b8ece824110a
fig|573.46429.peg.6	KP_445_Assembly_contig_1_7133+1662	CDS	Pyruvate decarboxylase (EC 4.1.1.1); Alpha-keto-acid decarboxylase (EC 4.1.1.-)		fa635f2a5f812f3451e5e115317ab30b
fig|573.46429.peg.7	KP_445_Assembly_contig_1_10026-1236	CDS	Chloride channel protein		48acfb1f9f4ae824c58ba05b593beb8a
fig|573.46429.peg.8	KP_445_Assembly_contig_1_10290+966	CDS	Glucokinase (EC 2.7.1.2)		745a99ae356b785a91398184781589bb
fig|573.46429.peg.9	KP_445_Assembly_contig_1_12061-753	CDS	Two-component transcriptional response regulator YpdB		57277e8688ec7f11b7882cd8e196931a
fig|573.46429.peg.10	KP_445_Assembly_contig_1_13755-1698	CDS	Sensor histidine kinase YpdA		d9ef08f6a316071bb4cfa4b7b401ea09
fig|573.46429.peg.11	KP_445_Assembly_contig_1_13754+114	CDS	hypothetical protein		2456ddfe67140306903a5fbf529278b4
fig|573.46429.peg.12	KP_445_Assembly_contig_1_14138+1215	CDS	Glutamate-pyruvate aminotransferase AlaC (EC 2.6.1.2)		a82a1cb02a1c6f789518182d296bd5e7
fig|573.46429.peg.13	KP_445_Assembly_contig_1_17029-1197	CDS	Cyanate transport protein CynX		c3d6e69a30f70dfc636ee73abc0d1c2b
fig|573.46429.peg.14	KP_445_Assembly_contig_1_17484-459	CDS	Guanine deaminase (EC 3.5.4.3)		27e13a6e0667d1047849c2d181782db3
fig|573.46429.peg.15	KP_445_Assembly_contig_1_17617+909	CDS	Cyn operon transcriptional activator		92cdf73ec52eec381da478242ce104cc
fig|573.46429.peg.16	KP_445_Assembly_contig_1_19416-882	CDS	hypothetical protein		3b6b70a1daa7533aa5b648b2151132bd
fig|573.46429.peg.17	KP_445_Assembly_contig_1_20266-483	CDS	hypothetical protein		337bc30588ad7a5565a8f7e4e847fc8a
fig|573.46429.rna.3	KP_445_Assembly_contig_1_20589-75	rna	tRNA-Arg-CCT		
fig|573.46429.peg.18	KP_445_Assembly_contig_1_21608-930	CDS	Inner membrane protein YfdC		4009884898d7a2102fbd820a1f6dde98
fig|573.46429.peg.19	KP_445_Assembly_contig_1_21898+762	CDS	Outer-membrane-phospholipid-binding lipoprotein MlaA		c988400328a09e1a5dec4d26127f0e30
fig|573.46429.peg.20	KP_445_Assembly_contig_1_24043-1323	CDS	Long-chain fatty acid transport protein		4315ad8ecee16ae99a203207bf185521
fig|573.46429.peg.21	KP_445_Assembly_contig_1_24417+285	CDS	UPF0381 protein YfcZ		530e62e75e454b0de6f53ecd897b6d72
fig|573.46429.peg.22	KP_445_Assembly_contig_1_24861+1311	CDS	3-ketoacyl-CoA thiolase (EC 2.3.1.16)		88895ab499a422332ff758806a63a8ec
